State,%ageofPersons (Total),No.ofPersons(lakhs) (Total)
Andaman &Nicobar Islands,1,0.04
Andhra Pradesh,9.2,78.78
Arunachal Pradesh,34.67,4.91
Assam,31.98,101.27
Bihar,33.74,358.15
Chandigarh,21.81,2.35
Chhatisagrh,39.93,104.11
Dadra & Nagar Haveli,39.31,1.43
Daman & Diu,9.86,0.26
Delhi,9.91,16.96
Goa,5.09,0.75
Gujarat,16.63,102.23
Haryana,11.16,28.83
Himachal pradesh,8.06,5.59
Jammu & Kashmir,10.35,13.27
Jharkhand,36.96,124.33
Karnataka,20.91,129.76
Kerala,7.05,23.95
Lakshadweep,2.77,0.02
Madhya Pradesh,31.65,234.06
Maharastra,17.35,197.92
Manipur,36.89,10.22
Meghalaya,11.87,3.61
Mizoram,20.4,2.27
Nagaland,18.88,3.76
Odisha,32.59,138.53
Puducherry,9.69,1.24
Punjab,8.26,23.18
Rajasthan,14.71,102.92
Sikkim,8.19,0.51
tamil Nadu,11.28,82.63
Tripura,14.05,5.24
uttar Pradesh,29.43,598.19
Uttarakhand,11.26,11.6
West Bengal,19.98,184.98
