Table Name,State Code,District Code,Area Name,Total/Rural/Urban,Educational Level,Non-Workers - Persons,Non-Workers - Males,Non-Workers - Females,Main Activity Students - Persons,Main Activity Students - Males,Main Activity Students - Females,Main Activity Household Duties - Persons,Main Activity Household Duties - Males,Main Activity Household Duties - Females,Main Activity Dependents - Persons,Main Activity Dependents - Males,Main Activity Dependents - Females,Main Activity Pensioners - Persons,Main Activity Pensioners - Males,Main Activity Pensioners - Females,Main Activity Rentiers - Persons,Main Activity Rentiers - Males,Main Activity Rentiers - Females,"Main Activity Beggars, Vagrants etc. - Persons","Main Activity Beggars, Vagrants etc. - Males","Main Activity Beggars, Vagrants etc. - Females",Main Activity Others - Persons,Main Activity Others - Males,Main Activity Others - Females
B0515,0,0,India,Total,Total,728966109,291330383,437635726,305182701,164001659,141181042,165647019,5792995,159854024,202037887,94692455,107345432,13760174,7944219,5815955,700043,348020,352023,372217,197725,174492,41266068,18353310,22912758
B0515,0,0,India,Total,Illiterate,291826581,110536046,181290535,42645922,22075628,20570294,61910843,2250611,59660232,172531843,81602065,90929778,5125031,1485009,3640022,245620,87988,157632,292802,138678,154124,9074520,2896067,6178453
B0515,0,0,India,Total,Literate,437139528,180794337,256345191,262536779,141926031,120610748,103736176,3542384,100193792,29506044,13090390,16415654,8635143,6459210,2175933,454423,260032,194391,79415,59047,20368,32191548,15457243,16734305
B0515,0,0,India,Total,Literate but below Matric/Secondary,291417376,124387401,167029975,199113017,105825032,93287985,56360264,2039481,54320783,19130242,8659227,10471015,2806499,1827806,978693,224957,114234,110723,53963,41431,12532,13728434,5880190,7848244
B0515,0,0,India,Total,Matric/Secondary but below Graduate,98000515,38789014,59211501,50610290,28384205,22226085,29322005,867122,28454883,5197905,2142755,3055150,2866273,2354404,511869,133821,83912,49909,10058,7621,2437,9860163,4948995,4911168
B0515,0,0,India,Total,Technical Diploma or Certificate not equal to Degree,2974371,1831529,1142842,1513698,1088302,425396,352371,22315,330056,139007,84463,54544,356705,244925,111780,6508,5539,969,195,157,38,605887,385828,220059
B0515,0,0,India,Total,Graduate and above other than Technical Degree,23184003,7782308,15401695,5770904,3278520,2492384,9564225,255160,9309065,1384071,527579,856492,1644213,1358839,285374,49839,34519,15320,2600,1855,745,4768151,2325836,2442315
B0515,0,0,India,Total,Technical Degree or Diploma equal to Degree or Post-Graduate Degree,4838694,2509007,2329687,2136177,1361326,774851,908561,37542,871019,223364,106531,116833,440540,345208,95332,7352,5730,1622,410,273,137,1122290,652397,469893
B0515,0,0,India,Rural,Total,485005760,200944045,284061715,207997668,112356441,95641227,96187463,4007216,92180247,147326584,69995157,77331427,7461759,3699527,3762232,221603,106888,114715,236850,118048,118802,25573833,10660768,14913065
B0515,0,0,India,Rural,Illiterate,217106903,82031657,135075246,29108725,15004355,14104370,45421265,1707294,43713971,131133159,61996765,69136394,4193639,1205851,2987788,122147,47651,74496,192925,84313,108612,6935043,1985428,4949615
B0515,0,0,India,Rural,Literate,267898857,118912388,148986469,178888943,97352086,81536857,50766198,2299922,48466276,16193425,7998392,8195033,3268120,2493676,774444,99456,59237,40219,43925,33735,10190,18638790,8675340,9963450
B0515,0,0,India,Rural,Literate but below Matric/Secondary,198796984,88412322,110384662,143606844,76406456,67200388,32818797,1462888,31355909,11517330,5715362,5801968,1489157,1018547,470610,61490,34441,27049,32325,25354,6971,9271041,3749274,5521767
B0515,0,0,India,Rural,Matric/Secondary but below Graduate,49612375,22069498,27542877,29034567,16936191,12098376,11926524,499731,11426793,2105071,1002420,1102651,1003201,878248,124953,22404,14988,7416,4253,3585,668,5516355,2734335,2782020
B0515,0,0,India,Rural,Technical Diploma or Certificate not equal to Degree,1383986,907249,476737,804231,595656,208575,110964,9883,101081,48287,30693,17594,110613,76406,34207,813,619,194,65,56,9,309013,193936,115077
B0515,0,0,India,Rural,Graduate and above other than Technical Degree,6920108,3175955,3744153,2481572,1598437,883135,1910339,102159,1808180,322264,169229,153035,312208,282452,29756,5088,3926,1162,726,634,92,1887911,1019118,868793
B0515,0,0,India,Rural,Technical Degree or Diploma equal to Degree or Post-Graduate Degree,1461922,875146,586776,723350,498776,224574,175753,12117,163636,50966,29553,21413,103538,87976,15562,716,543,173,117,96,21,407482,246085,161397
B0515,0,0,India,Urban,Total,243960349,90386338,153574011,97185033,51645218,45539815,69459556,1785779,67673777,54711303,24697298,30014005,6298415,4244692,2053723,478440,241132,237308,135367,79677,55690,15692235,7692542,7999693
B0515,0,0,India,Urban,Illiterate,74719678,28504389,46215289,13537197,7071273,6465924,16489578,543317,15946261,41398684,19605300,21793384,931392,279158,652234,123473,40337,83136,99877,54365,45512,2139477,910639,1228838
B0515,0,0,India,Urban,Literate,169240671,61881949,107358722,83647836,44573945,39073891,52969978,1242462,51727516,13312619,5091998,8220621,5367023,3965534,1401489,354967,200795,154172,35490,25312,10178,13552758,6781903,6770855
B0515,0,0,India,Urban,Literate but below Matric/Secondary,92620392,35975079,56645313,55506173,29418576,26087597,23541467,576593,22964874,7612912,2943865,4669047,1317342,809259,508083,163467,79793,83674,21638,16077,5561,4457393,2130916,2326477
B0515,0,0,India,Urban,Matric/Secondary but below Graduate,48388140,16719516,31668624,21575723,11448014,10127709,17395481,367391,17028090,3092834,1140335,1952499,1863072,1476156,386916,111417,68924,42493,5805,4036,1769,4343808,2214660,2129148
B0515,0,0,India,Urban,Technical Diploma or Certificate not equal to Degree,1590385,924280,666105,709467,492646,216821,241407,12432,228975,90720,53770,36950,246092,168519,77573,5695,4920,775,130,101,29,296874,191892,104982
B0515,0,0,India,Urban,Graduate and above other than Technical Degree,16263895,4606353,11657542,3289332,1680083,1609249,7653886,153001,7500885,1061807,358350,703457,1332005,1076387,255618,44751,30593,14158,1874,1221,653,2880240,1306718,1573522
B0515,0,0,India,Urban,Technical Degree or Diploma equal to Degree or Post-Graduate Degree,3376772,1633861,1742911,1412827,862550,550277,732808,25425,707383,172398,76978,95420,337002,257232,79770,6636,5187,1449,293,177,116,714808,406312,308496
B0515,1,0,State - Jammu & Kashmir,Total,Total,8218589,3445572,4773017,3515120,1899960,1615160,1645122,78581,1566541,2279760,1127049,1152711,127079,97913,29166,2908,1894,1014,3693,2235,1458,644907,237940,406967
B0515,1,0,State - Jammu & Kashmir,Total,Illiterate,3920165,1451673,2468492,526079,274719,251360,995368,47684,947684,2139077,1060567,1078510,30685,14506,16179,1240,675,565,3182,1836,1346,224534,51686,172848
B0515,1,0,State - Jammu & Kashmir,Total,Literate,4298424,1993899,2304525,2989041,1625241,1363800,649754,30897,618857,140683,66482,74201,96394,83407,12987,1668,1219,449,511,399,112,420373,186254,234119
B0515,1,0,State - Jammu & Kashmir,Total,Literate but below Matric/Secondary,2745741,1305415,1440326,2153183,1163305,989878,338539,17337,321202,79525,38903,40622,31062,26571,4491,608,426,182,318,265,53,142506,58608,83898
B0515,1,0,State - Jammu & Kashmir,Total,Matric/Secondary but below Graduate,1134483,504230,630253,683395,376597,306798,220764,9028,211736,32530,14084,18446,38172,33819,4353,599,450,149,93,76,17,158930,70176,88754
B0515,1,0,State - Jammu & Kashmir,Total,Technical Diploma or Certificate not equal to Degree,25893,13277,12616,14027,8415,5612,3897,152,3745,966,411,555,1247,1127,120,20,14,6,1,0,1,5735,3158,2577
B0515,1,0,State - Jammu & Kashmir,Total,Graduate and above other than Technical Degree,222325,94908,127417,81755,43871,37884,44853,1610,43243,6970,2640,4330,16089,13762,2327,250,198,52,18,12,6,72390,32815,39575
B0515,1,0,State - Jammu & Kashmir,Total,Technical Degree or Diploma equal to Degree or Post-Graduate Degree,62658,31203,31455,25592,13871,11721,7208,387,6821,1490,645,845,6393,5477,916,87,69,18,3,1,2,21885,10753,11132
B0515,1,0,State - Jammu & Kashmir,Rural,Total,5994979,2562471,3432508,2569993,1400557,1169436,1133625,60895,1072730,1794212,896557,897655,69537,52763,16774,1135,733,402,2874,1756,1118,423603,149210,274393
B0515,1,0,State - Jammu & Kashmir,Rural,Illiterate,3056738,1139524,1917214,382757,199763,182994,760316,38590,721726,1713351,853851,859500,22011,9612,12399,637,322,315,2498,1449,1049,175168,35937,139231
B0515,1,0,State - Jammu & Kashmir,Rural,Literate,2938241,1422947,1515294,2187236,1200794,986442,373309,22305,351004,80861,42706,38155,47526,43151,4375,498,411,87,376,307,69,248435,113273,135162
B0515,1,0,State - Jammu & Kashmir,Rural,Literate but below Matric/Secondary,2063220,997869,1065351,1654954,896199,758755,232314,13671,218643,51038,27059,23979,20748,18435,2313,210,166,44,241,207,34,103715,42132,61583
